requirement_id,outcome,release_slice,work_item,design_ref,code_ref,test_ref,harness_gate,evidence_ref,status,owner
"RQ-011","G7 是底层管车事实与原子能力平台，产品不重复定义稳定对象与平台治理","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-012","平台管主数据、统一模型、原子能力和治理；产品管场景编排、体验、聚合和差异","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-013","运行时数据按 Snapshot / History / Feed 分层，所有事实标明发生、接收与新鲜度","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-014","G7 外部写入必须幂等、可恢复并写后回读；不能伪造同步成功","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-015","参考优秀 TMS，但不照搬传统菜单式 SaaS；生命周期清晰且具体可操作","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-016","参考优秀管车系统，但车辆能力必须嵌入运输决策，不形成第二座信息孤岛","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-017","高频办公以队列、筛选、表格、批量动作和对象上下文为主，地图用于空间证据","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-018","不使用抽象的 Analyst/Planner/Operator 模式让业务用户猜；动作随场景出现","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-019","一个对象可在摘要、节点/轨迹、健康、工作、费用、凭证、日志之间切换","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-020","任何告警必须能转成有责任人、时限、证据和结果的工作","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-021","维护必须形成缺陷/提醒 -> 工单 -> 配件/人工 -> 完工 -> 车辆可用 -> 运力重算闭环","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-022","油能和支出必须进入单车、单票、线路、客户成本，并能识别疑似异常","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-023","车辆、挂车、非动力资产、设备分别建模，通过关系连接","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-024","派车前同时校验位置、车型、容量、资格、工时、车辆健康、检查和维护占用","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-025","管理层能从经营指标下钻到订单、车辆、司机、异常、维护和费用证据","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-026","原型必须有真实列表、筛选、批量动作、状态、详情、审批、失败和恢复交互","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-027","页面不使用营销式 Hero、装饰卡片和大面积渐变；信息密度适合重复办公","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-028","角色切换改变默认首页、字段和动作，但不能扩大权限","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-029","安全、隐私、审计、租户隔离、弱网和并发资源锁属于产品能力，不是后补技术项","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-030","所有产品文档、架构、Epic 和主原型必须指向同一能力范围","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-031","至少 100 个跨产品、跨角色的 TMS/SaaS 有效问题必须逐条保留证据、根因、整改与验收信号","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-032","六角色默认首页以今日任务、风险和待审批组织，不以统一 KPI 或模块菜单要求用户理解系统","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-033","高频队列必须具备搜索、组合筛选、保存视图、批量动作、列配置和部分成功重试","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-034","所有动态事实显示来源、发生/接收时间和新鲜度；陈旧或冲突数据不得表达为正常","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-035","地图采用“对象清单 + 空间证据 + 业务详情”双向联动，可搜索、筛选、聚焦并直接处置","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-036","地图 SDK、网络或鉴权失败时仍保留文字位置、对象清单和处置入口","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-037","导入、同步和批量写入必须预检、逐项反馈、仅重试失败项并保留幂等与回读","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-038","司机端支持弱网离线队列、补传冲突和行驶安全模式，核心任务不依赖持续网络","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-039","AI 必须按“作用域-证据计划-工具-审批-执行-回读-恢复”完成工作，不能以建议文本冒充完成","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-040","生产地图密钥不得以静态原型方式交付，应使用安全密钥/代理、白名单与轮换","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-041","每项能力、对象、字段和动作开发前必须先检索并验证 G7 开发者平台；已有能力直接复用，可组合能力优先编排","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-042","G7 已有数据保持平台真相所有权；本地仅允许必要读投影或最小扩展，不得复制整套对象生命周期","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-043","只有平台无对应能力/数据或经证据证明不能满足目标时才允许本地实现；每个本地表、状态机或服务必须关联已批准的 G7-GAP 与 ADR","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"RQ-044","开发、测试和预生产默认只用 G7 SANDBOX；PROD 凭据必须存入 Secret Manager，并在 Acceptance Gate 与人工批准后才可绑定","Foundation 0 / cross-release constraint","Existing EP/US mappings in PRD and stories","_bmad-output/planning-artifacts/change-control/requirements-ledger-2026-08-22.md;PRD;architecture;EXPERIENCE;DESIGN","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","Mapped through FR/NFR/US/TEST rows","Product Gate","asset-verification.csv;traceability.csv","PRESERVED_GATES_BLOCKED","Product owner"
"UJ-001","车队经理开始一天","V1-A","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-002","调度员完成派车","V1-A","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-003","安全员闭环风险","V1-C","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-004","车务人员处理到期","V1-B","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-005","调度员用 Agent 恢复异常","V1-C","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-006","客服与财务完成订单闭环","V1-A","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-007","经理完成晨间决策","V1-C","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-008","安全与车务联合控制风险","V1-B","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-009","运营管理员发布自动化","V1.5","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-010","管理层追问经营变化","V2","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-011","物流老板确认经营动作","V1-B","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-012","车队长完成班前就绪与交接","V1-B","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-013","物流专员清空履约工作箱","V1-B","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
"UJ-014","调度员在排程板发布班次","V1-A","End-to-end journey; must not be reduced to page CRUD","_bmad-output/planning-artifacts/prds/prd-fleet-office-2026-08-20/prd.md;_bmad-output/planning-artifacts/ux-designs/ux-fleet-office-2026-08-20/EXPERIENCE.md","NOT_STARTED_PRODUCT_DESIGN_GATES_BLOCKED","UJ E2E mapping required before Acceptance Gate","Acceptance Gate","traceability.csv;delivery-plan.md","PLANNED_NOT_IMPLEMENTED","Product + QA"
