requirement_id,business_capability,object_or_data,g7_app_or_api,endpoint_and_maturity,read_or_write,truth_owner,sandbox_evidence,reuse_mode,identified_gap,local_storage_needed,decision,approver
"FR-011","处置任务","safety event closure; contract: 安全员必须能接手、分派、记录联系/培训/停运等干预、设置复核时间并关闭事件；关闭必须有结果分类和说明，高风险关闭需复核角色确认。","event feed/history, media and local intervention","event/media production scopes ACTIVE; 14 safety and 7 media REST endpoints unsupported in SANDBOX; related message scopes available","READ","G7_FACTS_PRODUCT_WORKFLOW","WORKBENCH_INVENTORY_ONLY: safety/event REST scopes are active in production but 14 endpoints are unsupported in SANDBOX; media REST contributes 7 more unsupported endpoints. Related safety/media message scopes are available. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-001","PROPOSED intervention/audit extension keyed by G7 event ID","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-012","证据查看","safety event closure; contract: 在权限允许时，系统必须展示事件关联图片、视频状态、回放日历或外链；媒体不可用、处理中或过期时显示明确状态，不将缺失媒体解释为无风险。","event feed/history, media and local intervention","event/media production scopes ACTIVE; 14 safety and 7 media REST endpoints unsupported in SANDBOX; related message scopes available","READ","G7_FACTS_PRODUCT_WORKFLOW","WORKBENCH_INVENTORY_ONLY: safety/event REST scopes are active in production but 14 endpoints are unsupported in SANDBOX; media REST contributes 7 more unsupported endpoints. Related safety/media message scopes are available. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","DIRECT_REUSE","G7-GAP-001","PROPOSED intervention/audit extension keyed by G7 event ID","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-013","一车一档","vehicle dossier and maintenance; contract: 系统必须为每辆车汇总主数据、绑定历史、证照/资质、维护、事件、任务和审计记录；证照支持签发日、到期日、附件、标签、归档和恢复。","assets, assignments, qualifications, events, media, maintenance work","asset/assignment/qualification/storage scopes SANDBOX-supported; safety/media REST unsupported; no maintenance lifecycle scope found","READ_WRITE","G7_FACTS_PRODUCT_WORKFLOW","WORKBENCH_INVENTORY_ONLY: asset, assignment, qualification, storage and telemetry REST scopes are SANDBOX-supported; safety/media REST is unsupported and no maintenance lifecycle scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-009","PROPOSED minimal work extension only after workbench/SANDBOX proof","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-014","到期与维护工作","vehicle dossier and maintenance; contract: 系统必须按可配置提前期产生证照到期、年检、保养和维修工作；任务包含车辆、规则来源、责任人、计划时间、结果和附件，完成后保留历史版本。","assets, assignments, qualifications, events, media, maintenance work","asset/assignment/qualification/storage scopes SANDBOX-supported; safety/media REST unsupported; no maintenance lifecycle scope found","READ_WRITE","G7_FACTS_PRODUCT_WORKFLOW","WORKBENCH_INVENTORY_ONLY: asset, assignment, qualification, storage and telemetry REST scopes are SANDBOX-supported; safety/media REST is unsupported and no maintenance lifecycle scope was found. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-009","PROPOSED minimal work extension only after workbench/SANDBOX proof","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-015","G7 适配与降级","G7 anti-corruption layer; contract: 系统必须通过服务端 G7 适配层处理签名、租户/用户头、游标、限额、重试、超时和错误映射；外部不可用时使用最后成功事实并显示降级，不得伪造同步成功。","all selected G7 contracts","required signing/tenant/user headers, optional request-id/trace headers, limit 1..512 and invalid/expired cursor errors documented; signed SANDBOX validation required","READ_WRITE","G7","WORKBENCH_AND_DOCS_INVENTORY_ONLY: required tenant/user/access-key/timestamp/signature headers, optional request-id/trace headers, limit 1..512 and expired-cursor errors are documented; no signed request was made. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","NONE","Adapter state, idempotency and audit only","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-016","数据交换","data exchange; contract: 管理员必须能批量导入/导出车辆、司机及业务映射；外部 ID 必须在租户内唯一；导入支持预检、错误行下载和幂等重试，敏感导出需审批与审计。","vehicle/driver mappings and approved product data","vehicle/driver read/write scopes ACTIVE and SANDBOX-supported; exact write behavior unverified","READ_WRITE","G7_AND_PRODUCT_BY_FIELD","WORKBENCH_INVENTORY_ONLY: relevant master-data and assignment read/write scopes are active and their SANDBOX REST endpoints are supported. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","COMPOSED_REUSE","G7-GAP-001","PROPOSED import job/error evidence; never duplicate G7 lifecycle","BLOCKED_PENDING_CONTRACT_AND_APPROVAL","UNASSIGNED: Product + G7 integration + data owner"
"FR-017","权限与审计","authorization and audit; contract: 系统必须支持租户、组织和标签数据范围，以及管理员、车队经理、调度员、安全员、车务人员、只读审计员角色；所有变更、导出、敏感查看和同步重试必须记录操作者、时间、对象、前后值、请求 ID 与来源应用。","TenantScope, role scope, audit evidence","No target-app identity/RBAC/TenantScope/audit lifecycle scope found","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no product TenantScope, role-policy or audit-lifecycle scope was found among 41 active scopes. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_EXTENSION","G7-GAP-001","REQUIRED locally; approval and ADR pending","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-018","Agent 工作线程","controlled Agent runtime; contract: 用户必须能从工作流、对象抽屉或命令面板创建带对象、时间窗口、角色作用域和目标的 AgentThread；线程包含可恢复的 Turn、运行状态、参与工具、审批请求和最终结果，并可通过 URL、对象档案和班次交接恢复。","AgentThread, evidence, context, tools, approvals, run events","No target-app Agent/governance scope found; G7 facts reachable only through registered product tools","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-004","REQUIRED candidate model; prohibited until approved ADR","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-019","证据计划与账本","controlled Agent runtime; contract: Agent 在形成建议前必须生成可见的证据计划，说明将读取哪些 G7/本地数据以及完成条件；每个事实必须记录来源、happened_at、received_at、请求 ID、权限范围和新鲜度，事实、推断、冲突和未知分栏展示。","AgentThread, evidence, context, tools, approvals, run events","No target-app Agent/governance scope found; G7 facts reachable only through registered product tools","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-004","REQUIRED candidate model; prohibited until approved ADR","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-020","Context Pack 与策略","controlled Agent runtime; contract: 运行必须按租户、组织和对象作用域加载版本化的租户政策、车队 SOP、路线/时窗约束、司机安全规则、客户 SLA 和监管规则；策略冲突、过期或缺失时必须暂停建议并要求人工确认。","AgentThread, evidence, context, tools, approvals, run events","No target-app Agent/governance scope found; G7 facts reachable only through registered product tools","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-004","REQUIRED candidate model; prohibited until approved ADR","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-021","工具注册与分层","controlled Agent runtime; contract: Agent 只能调用注册工具；工具至少分为只读事实、可撤销草稿、外部写入和敏感操作四类，声明输入 schema、数据范围、风险等级、幂等键、超时、可撤销性和审计字段。Agent 不得直接调用 G7 或持有 G7 凭据。","AgentThread, evidence, context, tools, approvals, run events","No target-app Agent/governance scope found; G7 facts reachable only through registered product tools","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-004","REQUIRED candidate model; prohibited until approved ADR","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-022","计划、进度与失败恢复","controlled Agent runtime; contract: UI 必须显示 Agent 当前阶段（意图、作用域、证据、方案、审批、执行、回读、完成/失败）、工具状态、耗时、来源和下一步；工具超时、限流、权限不足和证据矛盾必须可重试、改范围、人工接管或恢复线程。","AgentThread, evidence, context, tools, approvals, run events","No target-app Agent/governance scope found; G7 facts reachable only through registered product tools","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-004","REQUIRED candidate model; prohibited until approved ADR","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
"FR-023","风险分级审批","controlled Agent runtime; contract: R0 只读可自动执行，R1 本地可撤销草稿需用户确认，R2 外部副作用必须逐项批准，R3 停运/资格冻结/敏感导出/批量变更必须双人复核；审批卡必须显示目标、证据摘要、影响、可撤销性和失败回滚。","AgentThread, evidence, context, tools, approvals, run events","No target-app Agent/governance scope found; G7 facts reachable only through registered product tools","READ_WRITE","PRODUCT","WORKBENCH_INVENTORY_ONLY: no Agent, tool-governance, approval, Playbook or knowledge-lifecycle scope was found; G7 facts remain available only through product tools. Target application ZHLDEMO is owner-confirmed. Its old credentials remain active for other systems and are prohibited for this project. Credentialless development may use only sanitized inventory, hashed public contracts and synthetic fixtures; signed request/response tests remain blocked pending a coordinated rotation and Harness Secret binding. Evidence: evidence/g7-public-api-catalog.json;evidence/g7-workbench-sandbox-inventory.json;evidence/g7-target-application-confirmation.json;evidence/g7-credential-dependency-decision.json.","LOCAL_GAP_IMPLEMENTATION","G7-GAP-004","REQUIRED candidate model; prohibited until approved ADR","APPROVED_LOCAL_DESIGN_TEST_REVIEW_ONLY; EXECUTION_BLOCKED_PENDING_SIGNED_SANDBOX_AND_NAMED_ACTIVATION_REVIEW","周贺龙: LOCAL_DESIGN_TEST_REVIEW_2026-08-25; ACTIVATION_REVIEWER_UNASSIGNED"
